Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.8
========================================

Computing frequent itemsets from dataset...
+-----------------------------------------------------------------------------------------------------------------+
|                                         Frequent itemsets (min_sup=0.09)                                        |
+------------------------------------------------------------------------------------------+----------------------+
|                                         Itemset                                          |      Support %       |
| ('Gleditsia triacanthos var. inermis', 'Alive', 'honeylocust', 'Street Tree', 'OnCurb')  |        9.44 %        |
|                ('Good', '(9.0, 16.0]', 'Alive', 'Street Tree', 'OnCurb')                 | 12.659999999999998 % |
|                 ('Good', '(9.0, 16.0]', 'Alive', 'OnCurb', 'NoProblems')                 |        9.5 %         |
|                  ('Good', '(9.0, 16.0]', 'Alive', 'OnCurb', 'NoDamage')                  |        9.08 %        |
|              ('Good', 'Alive', '(73.473, 76.336]', 'Street Tree', 'OnCurb')              | 11.540000000000001 % |
|                ('Good', 'Alive', '(73.473, 76.336]', 'Street Tree', 2018)                |        9.02 %        |
|              ('Good', 'Alive', '(73.473, 76.336]', 'OnCurb', 'NoProblems')               |        9.86 %        |
|                  ('Good', 'Alive', '(73.473, 76.336]', 'OnCurb', 2018)                   |        10.9 %        |
|               ('Good', 'Alive', '(73.473, 76.336]', 'OnCurb', 'NoDamage')                |       10.16 %        |
|                 ('Good', 'Alive', 'Volunteer', 'Street Tree', 'OnCurb')                  |       16.86 %        |
|                ('Good', 'Alive', 'Volunteer', 'Street Tree', 'Brooklyn')                 |        9.16 %        |
|                   ('Good', 'Alive', 'Volunteer', 'Street Tree', 2019)                    | 10.100000000000001 % |
|                ('Good', 'Alive', 'Volunteer', 'Street Tree', 'NoDamage')                 |       11.34 %        |
|                  ('Good', 'Alive', 'Volunteer', 'OnCurb', 'NoProblems')                  |        11.1 %        |
|                   ('Good', 'Alive', 'Volunteer', 'OnCurb', 'Brooklyn')                   |       11.68 %        |
|                      ('Good', 'Alive', 'Volunteer', 'OnCurb', 2019)                      |        12.7 %        |
|                      ('Good', 'Alive', 'Volunteer', 'OnCurb', 2018)                      |        9.4 %         |
|                   ('Good', 'Alive', 'Volunteer', 'OnCurb', 'NoDamage')                   | 13.600000000000001 % |
|                ('Good', 'Alive', '(16.0, 59.0]', 'Street Tree', 'OnCurb')                | 10.100000000000001 % |
|              ('Good', 'Alive', '(76.336, 82.603]', 'Street Tree', 'OnCurb')              |       10.76 %        |
|              ('Good', 'Alive', '(76.336, 82.603]', 'OnCurb', 'NoProblems')               |        9.64 %        |
|               ('Good', 'Alive', '(76.336, 82.603]', 'OnCurb', 'NoDamage')                | 9.700000000000001 %  |
|                     ('Good', 'Alive', 'BK82', 'OnCurb', 'Brooklyn')                      | 9.180000000000001 %  |
|               ('Good', 'Alive', '(-0.001, 4.0]', 'Street Tree', 'OnCurb')                | 15.959999999999999 % |
|             ('Good', 'Alive', '(-0.001, 4.0]', 'Street Tree', 'NoProblems')              |       14.34 %        |
|              ('Good', 'Alive', '(-0.001, 4.0]', 'Street Tree', 'Brooklyn')               |        9.4 %         |
|              ('Good', 'Alive', '(-0.001, 4.0]', 'Street Tree', 'NoDamage')               | 13.239999999999998 % |
|                ('Good', 'Alive', '(-0.001, 4.0]', 'OnCurb', 'NoProblems')                | 18.279999999999998 % |
|                 ('Good', 'Alive', '(-0.001, 4.0]', 'OnCurb', 'Brooklyn')                 |       11.72 %        |
|                    ('Good', 'Alive', '(-0.001, 4.0]', 'OnCurb', 2019)                    | 11.219999999999999 % |
|                    ('Good', 'Alive', '(-0.001, 4.0]', 'OnCurb', 2018)                    |        9.84 %        |
|             ('Good', 'Alive', '(-0.001, 4.0]', 'OnCurb', 'TreesCount Staff')             |       10.22 %        |
|                 ('Good', 'Alive', '(-0.001, 4.0]', 'OnCurb', 'NoDamage')                 |       16.86 %        |
|               ('Good', 'Alive', '(-0.001, 4.0]', 'NoProblems', 'Brooklyn')               |        10.6 %        |
|                  ('Good', 'Alive', '(-0.001, 4.0]', 'NoProblems', 2019)                  |        10.0 %        |
|                  ('Good', 'Alive', '(-0.001, 4.0]', 'NoProblems', 2018)                  |        9.0 %         |
|           ('Good', 'Alive', '(-0.001, 4.0]', 'NoProblems', 'TreesCount Staff')           |        9.82 %        |
|               ('Good', 'Alive', '(-0.001, 4.0]', 'NoProblems', 'NoDamage')               |       15.86 %        |
|                ('Good', 'Alive', '(-0.001, 4.0]', 'Brooklyn', 'NoDamage')                |        9.78 %        |
|                   ('Good', 'Alive', '(-0.001, 4.0]', 2019, 'NoDamage')                   |        9.28 %        |
|              ('Good', 'Alive', 'Street Tree', '(82.603, 95.183]', 'OnCurb')              |       10.34 %        |
|              ('Good', 'Alive', 'Street Tree', 'NYC Parks Staff', 'OnCurb')               | 14.860000000000001 % |
|            ('Good', 'Alive', 'Street Tree', 'NYC Parks Staff', 'NoProblems')             | 10.780000000000001 % |
|             ('Good', 'Alive', 'Street Tree', 'NYC Parks Staff', 'Brooklyn')              |        9.74 %        |
|             ('Good', 'Alive', 'Street Tree', 'NYC Parks Staff', 'NoDamage')              |       10.68 %        |
|                   ('Good', 'Alive', 'Street Tree', 'Damage', 'OnCurb')                   |       18.64 %        |
|                 ('Good', 'Alive', 'Street Tree', 'Damage', 'NoProblems')                 |        9.26 %        |
|                  ('Good', 'Alive', 'Street Tree', 'Damage', 'Brooklyn')                  |       10.68 %        |
|                     ('Good', 'Alive', 'Street Tree', 'Damage', 2019)                     |        9.66 %        |
|                     ('Good', 'Alive', 'Street Tree', 'Damage', 2018)                     |        9.56 %        |
|                 ('Good', 'Alive', 'Street Tree', 'OnCurb', 'NoProblems')                 |       36.24 %        |
|                  ('Good', 'Alive', 'Street Tree', 'OnCurb', 'Brooklyn')                  |       29.24 %        |
|              ('Good', 'Alive', 'Street Tree', 'OnCurb', '(71.353, 73.473]')              |       11.14 %        |
|                     ('Good', 'Alive', 'Street Tree', 'OnCurb', 2019)                     | 27.560000000000002 % |
|                     ('Good', 'Alive', 'Street Tree', 'OnCurb', 2018)                     | 27.779999999999998 % |
|                   ('Good', 'Alive', 'Street Tree', 'OnCurb', 'Bronx')                    |        10.9 %        |
|                 ('Good', 'Alive', 'Street Tree', 'OnCurb', '(4.0, 6.0]')                 | 9.139999999999999 %  |
|              ('Good', 'Alive', 'Street Tree', 'OnCurb', 'TreesCount Staff')              |       23.62 %        |
|                  ('Good', 'Alive', 'Street Tree', 'OnCurb', 'NoDamage')                  |        36.7 %        |
|        ('Good', 'Alive', 'Street Tree', 'OnCurb', '(52.443000000000005, 71.353]')        |       11.24 %        |
|                ('Good', 'Alive', 'Street Tree', 'NoProblems', 'Brooklyn')                |       19.34 %        |
|                   ('Good', 'Alive', 'Street Tree', 'NoProblems', 2019)                   |       18.54 %        |
|                   ('Good', 'Alive', 'Street Tree', 'NoProblems', 2018)                   |        19.7 %        |
|            ('Good', 'Alive', 'Street Tree', 'NoProblems', 'TreesCount Staff')            |       18.64 %        |
|                ('Good', 'Alive', 'Street Tree', 'NoProblems', 'NoDamage')                |       28.98 %        |
|                    ('Good', 'Alive', 'Street Tree', 'Brooklyn', 2019)                    |       17.24 %        |
|                    ('Good', 'Alive', 'Street Tree', 'Brooklyn', 2018)                    |       13.22 %        |
|             ('Good', 'Alive', 'Street Tree', 'Brooklyn', 'TreesCount Staff')             | 11.559999999999999 % |
|                 ('Good', 'Alive', 'Street Tree', 'Brooklyn', 'NoDamage')                 |       19.78 %        |
|                ('Good', 'Alive', 'Street Tree', 2019, 'TreesCount Staff')                |       11.12 %        |
|                    ('Good', 'Alive', 'Street Tree', 2019, 'NoDamage')                    | 19.139999999999997 % |
|                ('Good', 'Alive', 'Street Tree', 2018, 'TreesCount Staff')                |       13.62 %        |
|                    ('Good', 'Alive', 'Street Tree', 2018, 'NoDamage')                    |        19.8 %        |
|             ('Good', 'Alive', 'Street Tree', 'TreesCount Staff', 'NoDamage')             | 16.919999999999998 % |
|              ('Good', 'Alive', '(82.603, 95.183]', 'OnCurb', 'NoProblems')               |        9.32 %        |
|                  ('Good', 'Alive', '(82.603, 95.183]', 'OnCurb', 2019)                   |        9.68 %        |
|               ('Good', 'Alive', 'NYC Parks Staff', 'OnCurb', 'NoProblems')               |       13.84 %        |
|                ('Good', 'Alive', 'NYC Parks Staff', 'OnCurb', 'Brooklyn')                | 11.940000000000001 % |
|                   ('Good', 'Alive', 'NYC Parks Staff', 'OnCurb', 2019)                   |        9.68 %        |
|                   ('Good', 'Alive', 'NYC Parks Staff', 'OnCurb', 2018)                   |       10.32 %        |
|                ('Good', 'Alive', 'NYC Parks Staff', 'OnCurb', 'NoDamage')                |       13.76 %        |
|              ('Good', 'Alive', 'NYC Parks Staff', 'NoProblems', 'NoDamage')              |        11.5 %        |
|                   ('Good', 'Alive', 'Damage', 'OnCurb', 'NoProblems')                    | 11.940000000000001 % |
|                    ('Good', 'Alive', 'Damage', 'OnCurb', 'Brooklyn')                     |       14.12 %        |
|                       ('Good', 'Alive', 'Damage', 'OnCurb', 2019)                        | 13.020000000000001 % |
|                       ('Good', 'Alive', 'Damage', 'OnCurb', 2018)                        | 12.120000000000001 % |
|                ('Good', 'Alive', 'Damage', 'OnCurb', 'TreesCount Staff')                 |        10.4 %        |
|                  ('Good', 'Alive', 'OnCurb', 'NoProblems', 'Brooklyn')                   |       24.48 %        |
|                 ('Good', 'Alive', 'OnCurb', 'NoProblems', 'Light Pole')                  |        12.5 %        |
|              ('Good', 'Alive', 'OnCurb', 'NoProblems', '(71.353, 73.473]')               |        9.92 %        |
|                     ('Good', 'Alive', 'OnCurb', 'NoProblems', 2019)                      |       24.18 %        |
|                     ('Good', 'Alive', 'OnCurb', 'NoProblems', 2018)                      | 24.560000000000002 % |
|                    ('Good', 'Alive', 'OnCurb', 'NoProblems', 'Bronx')                    |        12.3 %        |
|              ('Good', 'Alive', 'OnCurb', 'NoProblems', 'TreesCount Staff')               | 23.799999999999997 % |
|                  ('Good', 'Alive', 'OnCurb', 'NoProblems', 'NoDamage')                   |        36.8 %        |
|        ('Good', 'Alive', 'OnCurb', 'NoProblems', '(52.443000000000005, 71.353]')         |        9.76 %        |
|                  ('Good', 'Alive', 'OnCurb', 'Brooklyn', 'Light Pole')                   |        9.26 %        |
|                      ('Good', 'Alive', 'OnCurb', 'Brooklyn', 2019)                       | 21.740000000000002 % |
|                      ('Good', 'Alive', 'OnCurb', 'Brooklyn', 2018)                       |       16.76 %        |
|               ('Good', 'Alive', 'OnCurb', 'Brooklyn', 'TreesCount Staff')                | 14.879999999999999 % |
|                   ('Good', 'Alive', 'OnCurb', 'Brooklyn', 'NoDamage')                    |       24.38 %        |
|                     ('Good', 'Alive', 'OnCurb', 'Light Pole', 2019)                      |        9.64 %        |
|                  ('Good', 'Alive', 'OnCurb', 'Light Pole', 'NoDamage')                   |       12.08 %        |
|               ('Good', 'Alive', 'OnCurb', '(71.353, 73.473]', 'NoDamage')                |        9.76 %        |
|                  ('Good', 'Alive', 'OnCurb', 2019, 'TreesCount Staff')                   |       14.82 %        |
|                      ('Good', 'Alive', 'OnCurb', 2019, 'NoDamage')                       |       24.18 %        |
|                        ('Good', 'Alive', 'OnCurb', 2018, 'Bronx')                        |        10.0 %        |
|                  ('Good', 'Alive', 'OnCurb', 2018, 'TreesCount Staff')                   |        17.0 %        |
|                      ('Good', 'Alive', 'OnCurb', 2018, 'NoDamage')                       |        24.6 %        |
|                 ('Good', 'Alive', 'OnCurb', 'Bronx', 'TreesCount Staff')                 | 9.520000000000001 %  |
|                     ('Good', 'Alive', 'OnCurb', 'Bronx', 'NoDamage')                     |       12.08 %        |
|                  ('Good', 'Alive', 'OnCurb', '(4.0, 6.0]', 'NoDamage')                   |        9.48 %        |
|               ('Good', 'Alive', 'OnCurb', 'TreesCount Staff', 'NoDamage')                |       21.42 %        |
|         ('Good', 'Alive', 'OnCurb', 'NoDamage', '(52.443000000000005, 71.353]')          | 9.879999999999999 %  |
|                    ('Good', 'Alive', 'NoProblems', 'Brooklyn', 2019)                     |       14.46 %        |
|                    ('Good', 'Alive', 'NoProblems', 'Brooklyn', 2018)                     | 11.379999999999999 % |
|             ('Good', 'Alive', 'NoProblems', 'Brooklyn', 'TreesCount Staff')              |       10.92 %        |
|                 ('Good', 'Alive', 'NoProblems', 'Brooklyn', 'NoDamage')                  |       19.48 %        |
|                ('Good', 'Alive', 'NoProblems', 'Light Pole', 'NoDamage')                 | 10.299999999999999 % |
|                ('Good', 'Alive', 'NoProblems', 2019, 'TreesCount Staff')                 | 11.700000000000001 % |
|                    ('Good', 'Alive', 'NoProblems', 2019, 'NoDamage')                     |       19.34 %        |
|                ('Good', 'Alive', 'NoProblems', 2018, 'TreesCount Staff')                 |       13.52 %        |
|                    ('Good', 'Alive', 'NoProblems', 2018, 'NoDamage')                     | 19.939999999999998 % |
|                   ('Good', 'Alive', 'NoProblems', 'Bronx', 'NoDamage')                   |       10.12 %        |
|             ('Good', 'Alive', 'NoProblems', 'TreesCount Staff', 'NoDamage')              |        19.3 %        |
|                     ('Good', 'Alive', 'Brooklyn', 2019, 'NoDamage')                      |       14.46 %        |
|                     ('Good', 'Alive', 'Brooklyn', 2018, 'NoDamage')                      |       11.42 %        |
|              ('Good', 'Alive', 'Brooklyn', 'TreesCount Staff', 'NoDamage')               |       10.38 %        |
|                 ('Good', 'Alive', 2019, 'TreesCount Staff', 'NoDamage')                  |       10.42 %        |
|                 ('Good', 'Alive', 2018, 'TreesCount Staff', 'NoDamage')                  |       12.44 %        |
|                   ('Good', 'Volunteer', 'Street Tree', 'OnCurb', 2019)                   |        9.62 %        |
|                ('Good', 'Volunteer', 'Street Tree', 'OnCurb', 'NoDamage')                |        10.7 %        |
|             ('Good', '(-0.001, 4.0]', 'Street Tree', 'OnCurb', 'NoProblems')             |       13.86 %        |
|              ('Good', '(-0.001, 4.0]', 'Street Tree', 'OnCurb', 'Brooklyn')              | 9.180000000000001 %  |
|              ('Good', '(-0.001, 4.0]', 'Street Tree', 'OnCurb', 'NoDamage')              |       12.78 %        |
|            ('Good', '(-0.001, 4.0]', 'Street Tree', 'NoProblems', 'NoDamage')            | 11.799999999999999 % |
|              ('Good', '(-0.001, 4.0]', 'OnCurb', 'NoProblems', 'Brooklyn')               | 10.299999999999999 % |
|                 ('Good', '(-0.001, 4.0]', 'OnCurb', 'NoProblems', 2019)                  |        9.64 %        |
|          ('Good', '(-0.001, 4.0]', 'OnCurb', 'NoProblems', 'TreesCount Staff')           |        9.34 %        |
|              ('Good', '(-0.001, 4.0]', 'OnCurb', 'NoProblems', 'NoDamage')               |       15.22 %        |
|               ('Good', '(-0.001, 4.0]', 'OnCurb', 'Brooklyn', 'NoDamage')                |        9.48 %        |
|            ('Good', 'Street Tree', 'NYC Parks Staff', 'OnCurb', 'NoProblems')            |       10.24 %        |
|             ('Good', 'Street Tree', 'NYC Parks Staff', 'OnCurb', 'Brooklyn')             |        9.24 %        |
|             ('Good', 'Street Tree', 'NYC Parks Staff', 'OnCurb', 'NoDamage')             | 10.100000000000001 % |
|                 ('Good', 'Street Tree', 'Damage', 'OnCurb', 'Brooklyn')                  |       10.52 %        |
|                    ('Good', 'Street Tree', 'Damage', 'OnCurb', 2019)                     |        9.4 %         |
|                    ('Good', 'Street Tree', 'Damage', 'OnCurb', 2018)                     |        9.24 %        |
|               ('Good', 'Street Tree', 'OnCurb', 'NoProblems', 'Brooklyn')                |       18.38 %        |
|                  ('Good', 'Street Tree', 'OnCurb', 'NoProblems', 2019)                   |       17.68 %        |
|                  ('Good', 'Street Tree', 'OnCurb', 'NoProblems', 2018)                   |       18.56 %        |
|           ('Good', 'Street Tree', 'OnCurb', 'NoProblems', 'TreesCount Staff')            |       17.64 %        |
|               ('Good', 'Street Tree', 'OnCurb', 'NoProblems', 'NoDamage')                |       27.26 %        |
|                   ('Good', 'Street Tree', 'OnCurb', 'Brooklyn', 2019)                    | 16.619999999999997 % |
|                   ('Good', 'Street Tree', 'OnCurb', 'Brooklyn', 2018)                    | 12.620000000000001 % |
|            ('Good', 'Street Tree', 'OnCurb', 'Brooklyn', 'TreesCount Staff')             |        11.1 %        |
|                ('Good', 'Street Tree', 'OnCurb', 'Brooklyn', 'NoDamage')                 |       18.72 %        |
|               ('Good', 'Street Tree', 'OnCurb', 2019, 'TreesCount Staff')                | 10.620000000000001 % |
|                   ('Good', 'Street Tree', 'OnCurb', 2019, 'NoDamage')                    |       18.16 %        |
|               ('Good', 'Street Tree', 'OnCurb', 2018, 'TreesCount Staff')                |        13.0 %        |
|                   ('Good', 'Street Tree', 'OnCurb', 2018, 'NoDamage')                    |       18.54 %        |
|            ('Good', 'Street Tree', 'OnCurb', 'TreesCount Staff', 'NoDamage')             |        15.9 %        |
|                 ('Good', 'Street Tree', 'NoProblems', 'Brooklyn', 2019)                  | 10.879999999999999 % |
|              ('Good', 'Street Tree', 'NoProblems', 'Brooklyn', 'NoDamage')               | 14.580000000000002 % |
|                 ('Good', 'Street Tree', 'NoProblems', 2019, 'NoDamage')                  |       14.12 %        |
|             ('Good', 'Street Tree', 'NoProblems', 2018, 'TreesCount Staff')              |       10.32 %        |
|                 ('Good', 'Street Tree', 'NoProblems', 2018, 'NoDamage')                  | 14.860000000000001 % |
|          ('Good', 'Street Tree', 'NoProblems', 'TreesCount Staff', 'NoDamage')           | 14.180000000000001 % |
|                  ('Good', 'Street Tree', 'Brooklyn', 2019, 'NoDamage')                   |       11.12 %        |
|              ('Good', 'Street Tree', 2018, 'TreesCount Staff', 'NoDamage')               |        9.34 %        |
|             ('Good', 'NYC Parks Staff', 'OnCurb', 'NoProblems', 'NoDamage')              |        10.8 %        |
|                    ('Good', 'OnCurb', 'NoProblems', 'Brooklyn', 2019)                    |       13.74 %        |
|                    ('Good', 'OnCurb', 'NoProblems', 'Brooklyn', 2018)                    |       10.74 %        |
|             ('Good', 'OnCurb', 'NoProblems', 'Brooklyn', 'TreesCount Staff')             |       10.42 %        |
|                 ('Good', 'OnCurb', 'NoProblems', 'Brooklyn', 'NoDamage')                 |        18.2 %        |
|                ('Good', 'OnCurb', 'NoProblems', 'Light Pole', 'NoDamage')                |        9.54 %        |
|                ('Good', 'OnCurb', 'NoProblems', 2019, 'TreesCount Staff')                |       11.06 %        |
|                    ('Good', 'OnCurb', 'NoProblems', 2019, 'NoDamage')                    |       18.18 %        |
|                ('Good', 'OnCurb', 'NoProblems', 2018, 'TreesCount Staff')                | 12.740000000000002 % |
|                    ('Good', 'OnCurb', 'NoProblems', 2018, 'NoDamage')                    |       18.62 %        |
|                  ('Good', 'OnCurb', 'NoProblems', 'Bronx', 'NoDamage')                   |        9.44 %        |
|             ('Good', 'OnCurb', 'NoProblems', 'TreesCount Staff', 'NoDamage')             |        18.0 %        |
|                     ('Good', 'OnCurb', 'Brooklyn', 2019, 'NoDamage')                     |       13.68 %        |
|                     ('Good', 'OnCurb', 'Brooklyn', 2018, 'NoDamage')                     |        10.7 %        |
|              ('Good', 'OnCurb', 'Brooklyn', 'TreesCount Staff', 'NoDamage')              |        9.84 %        |
|                 ('Good', 'OnCurb', 2019, 'TreesCount Staff', 'NoDamage')                 |        9.82 %        |
|                 ('Good', 'OnCurb', 2018, 'TreesCount Staff', 'NoDamage')                 | 11.600000000000001 % |
|                   ('Good', 'NoProblems', 'Brooklyn', 2019, 'NoDamage')                   |        11.0 %        |
|               ('Good', 'NoProblems', 2018, 'TreesCount Staff', 'NoDamage')               |       10.42 %        |
|               ('Alive', '(73.473, 76.336]', 'Street Tree', 'OnCurb', 2018)               | 10.620000000000001 % |
|            ('Alive', '(73.473, 76.336]', 'Street Tree', 'OnCurb', 'NoDamage')            |        9.64 %        |
|            ('Alive', '(73.473, 76.336]', 'OnCurb', 'NoProblems', 'NoDamage')             | 9.120000000000001 %  |
|                ('Alive', '(73.473, 76.336]', 'OnCurb', 2018, 'NoDamage')                 |        9.16 %        |
|              ('Alive', 'Volunteer', 'Street Tree', 'OnCurb', 'NoProblems')               |       10.26 %        |
|               ('Alive', 'Volunteer', 'Street Tree', 'OnCurb', 'Brooklyn')                |       10.92 %        |
|                  ('Alive', 'Volunteer', 'Street Tree', 'OnCurb', 2019)                   |       12.72 %        |
|               ('Alive', 'Volunteer', 'Street Tree', 'OnCurb', 'NoDamage')                |       13.56 %        |
|                ('Alive', 'Volunteer', 'OnCurb', 'NoProblems', 'NoDamage')                |        9.74 %        |
|                    ('Alive', 'Volunteer', 'OnCurb', 2019, 'NoDamage')                    |       10.32 %        |
|            ('Alive', '(76.336, 82.603]', 'Street Tree', 'OnCurb', 'NoDamage')            |        9.34 %        |
|            ('Alive', '(76.336, 82.603]', 'OnCurb', 'NoProblems', 'NoDamage')             |        9.06 %        |
|                  ('Alive', 'BK82', 'Street Tree', 'OnCurb', 'Brooklyn')                  |        9.9 %         |
|            ('Alive', '(-0.001, 4.0]', 'Street Tree', 'OnCurb', 'NoProblems')             |        17.8 %        |
|             ('Alive', '(-0.001, 4.0]', 'Street Tree', 'OnCurb', 'Brooklyn')              |       12.18 %        |
|                ('Alive', '(-0.001, 4.0]', 'Street Tree', 'OnCurb', 2019)                 |       11.14 %        |
|                ('Alive', '(-0.001, 4.0]', 'Street Tree', 'OnCurb', 2018)                 |       10.18 %        |
|         ('Alive', '(-0.001, 4.0]', 'Street Tree', 'OnCurb', 'TreesCount Staff')          | 10.639999999999999 % |
|             ('Alive', '(-0.001, 4.0]', 'Street Tree', 'OnCurb', 'NoDamage')              |       16.88 %        |
|           ('Alive', '(-0.001, 4.0]', 'Street Tree', 'NoProblems', 'Brooklyn')            |       10.66 %        |
|              ('Alive', '(-0.001, 4.0]', 'Street Tree', 'NoProblems', 2019)               | 9.379999999999999 %  |
|              ('Alive', '(-0.001, 4.0]', 'Street Tree', 'NoProblems', 2018)               |        9.08 %        |
|       ('Alive', '(-0.001, 4.0]', 'Street Tree', 'NoProblems', 'TreesCount Staff')        |        9.92 %        |
|           ('Alive', '(-0.001, 4.0]', 'Street Tree', 'NoProblems', 'NoDamage')            | 15.079999999999998 % |
|            ('Alive', '(-0.001, 4.0]', 'Street Tree', 'Brooklyn', 'NoDamage')             |       10.02 %        |
|               ('Alive', '(-0.001, 4.0]', 'Street Tree', 2019, 'NoDamage')                |        9.04 %        |
|              ('Alive', '(-0.001, 4.0]', 'OnCurb', 'NoProblems', 'Brooklyn')              | 13.020000000000001 % |
|                 ('Alive', '(-0.001, 4.0]', 'OnCurb', 'NoProblems', 2019)                 |       11.76 %        |
|                 ('Alive', '(-0.001, 4.0]', 'OnCurb', 'NoProblems', 2018)                 |       11.34 %        |
|          ('Alive', '(-0.001, 4.0]', 'OnCurb', 'NoProblems', 'TreesCount Staff')          |       12.16 %        |
|              ('Alive', '(-0.001, 4.0]', 'OnCurb', 'NoProblems', 'NoDamage')              | 19.040000000000003 % |
|               ('Alive', '(-0.001, 4.0]', 'OnCurb', 'Brooklyn', 'NoDamage')               |       12.22 %        |
|                  ('Alive', '(-0.001, 4.0]', 'OnCurb', 2019, 'NoDamage')                  | 11.360000000000001 % |
|                  ('Alive', '(-0.001, 4.0]', 'OnCurb', 2018, 'NoDamage')                  |       10.72 %        |
|           ('Alive', '(-0.001, 4.0]', 'OnCurb', 'TreesCount Staff', 'NoDamage')           |       10.68 %        |
|             ('Alive', '(-0.001, 4.0]', 'NoProblems', 'Brooklyn', 'NoDamage')             |       11.24 %        |
|                ('Alive', '(-0.001, 4.0]', 'NoProblems', 2019, 'NoDamage')                |       10.12 %        |
|                ('Alive', '(-0.001, 4.0]', 'NoProblems', 2018, 'NoDamage')                |        9.78 %        |
|         ('Alive', '(-0.001, 4.0]', 'NoProblems', 'TreesCount Staff', 'NoDamage')         |       10.38 %        |
|               ('Alive', 'Street Tree', '(82.603, 95.183]', 'OnCurb', 2019)               |        9.02 %        |
|           ('Alive', 'Street Tree', 'NYC Parks Staff', 'OnCurb', 'NoProblems')            |        12.2 %        |
|            ('Alive', 'Street Tree', 'NYC Parks Staff', 'OnCurb', 'Brooklyn')             |        10.6 %        |
|               ('Alive', 'Street Tree', 'NYC Parks Staff', 'OnCurb', 2018)                |        9.3 %         |
|            ('Alive', 'Street Tree', 'NYC Parks Staff', 'OnCurb', 'NoDamage')             |       12.18 %        |
|          ('Alive', 'Street Tree', 'NYC Parks Staff', 'NoProblems', 'NoDamage')           |        9.76 %        |
|                ('Alive', 'Street Tree', 'Damage', 'OnCurb', 'NoProblems')                |       10.92 %        |
|                 ('Alive', 'Street Tree', 'Damage', 'OnCurb', 'Brooklyn')                 |        12.7 %        |
|                    ('Alive', 'Street Tree', 'Damage', 'OnCurb', 2019)                    | 12.120000000000001 % |
|                    ('Alive', 'Street Tree', 'Damage', 'OnCurb', 2018)                    |       11.26 %        |
|             ('Alive', 'Street Tree', 'Damage', 'OnCurb', 'TreesCount Staff')             |        9.64 %        |
|               ('Alive', 'Street Tree', 'OnCurb', 'NoProblems', 'Brooklyn')               |       22.06 %        |
|                  ('Alive', 'Street Tree', 'OnCurb', 'NoProblems', 2019)                  | 21.560000000000002 % |
|                  ('Alive', 'Street Tree', 'OnCurb', 'NoProblems', 2018)                  |       22.64 %        |
|                ('Alive', 'Street Tree', 'OnCurb', 'NoProblems', 'Bronx')                 |        9.78 %        |
|           ('Alive', 'Street Tree', 'OnCurb', 'NoProblems', 'TreesCount Staff')           | 21.740000000000002 % |
|               ('Alive', 'Street Tree', 'OnCurb', 'NoProblems', 'NoDamage')               |       33.28 %        |
|     ('Alive', 'Street Tree', 'OnCurb', 'NoProblems', '(52.443000000000005, 71.353]')     |        9.2 %         |
|                   ('Alive', 'Street Tree', 'OnCurb', 'Brooklyn', 2019)                   |       20.34 %        |
|                   ('Alive', 'Street Tree', 'OnCurb', 'Brooklyn', 2018)                   |        15.4 %        |
|            ('Alive', 'Street Tree', 'OnCurb', 'Brooklyn', 'TreesCount Staff')            | 14.219999999999999 % |
|                ('Alive', 'Street Tree', 'OnCurb', 'Brooklyn', 'NoDamage')                |       23.04 %        |
|               ('Alive', 'Street Tree', 'OnCurb', 2019, 'TreesCount Staff')               |       13.62 %        |
|                   ('Alive', 'Street Tree', 'OnCurb', 2019, 'NoDamage')                   | 22.900000000000002 % |
|               ('Alive', 'Street Tree', 'OnCurb', 2018, 'TreesCount Staff')               |       16.34 %        |
|                   ('Alive', 'Street Tree', 'OnCurb', 2018, 'NoDamage')                   |       23.16 %        |
|                 ('Alive', 'Street Tree', 'OnCurb', 'Bronx', 'NoDamage')                  |        9.6 %         |
|            ('Alive', 'Street Tree', 'OnCurb', 'TreesCount Staff', 'NoDamage')            |       20.32 %        |
|      ('Alive', 'Street Tree', 'OnCurb', 'NoDamage', '(52.443000000000005, 71.353]')      |        9.66 %        |
|                 ('Alive', 'Street Tree', 'NoProblems', 'Brooklyn', 2019)                 | 12.920000000000002 % |
|                 ('Alive', 'Street Tree', 'NoProblems', 'Brooklyn', 2018)                 | 10.299999999999999 % |
|          ('Alive', 'Street Tree', 'NoProblems', 'Brooklyn', 'TreesCount Staff')          |       10.36 %        |
|              ('Alive', 'Street Tree', 'NoProblems', 'Brooklyn', 'NoDamage')              | 17.599999999999998 % |
|             ('Alive', 'Street Tree', 'NoProblems', 2019, 'TreesCount Staff')             |       10.26 %        |
|                 ('Alive', 'Street Tree', 'NoProblems', 2019, 'NoDamage')                 |       17.16 %        |
|             ('Alive', 'Street Tree', 'NoProblems', 2018, 'TreesCount Staff')             |       12.72 %        |
|                 ('Alive', 'Street Tree', 'NoProblems', 2018, 'NoDamage')                 |       18.18 %        |
|          ('Alive', 'Street Tree', 'NoProblems', 'TreesCount Staff', 'NoDamage')          |       17.54 %        |
|                  ('Alive', 'Street Tree', 'Brooklyn', 2019, 'NoDamage')                  |       13.58 %        |
|                  ('Alive', 'Street Tree', 'Brooklyn', 2018, 'NoDamage')                  |       10.72 %        |
