Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.7
========================================

Computing frequent itemsets from dataset...
+-------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                         Frequent itemsets (min_sup=0.09)                                                        |
+-------------------------------------------------------------------------------------------------------------------------------------+-----------+
|                                                               Itemset                                                               | Support % |
|                                                             ('Brooklyn',) => ('BK82',)                                                             |  403.6060 %  |
|                                          ('Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('Health: Fair',)                                          |  402.9277 %  |
|                                 ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('Health: Fair',)                                  |  402.9277 %  |
|                                                     ('Brooklyn', 'Status: Alive') => ('BK82',)                                                     |  394.8533 %  |
|                                                        ('Health: Good',) => ('(5.0, 9.0]',)                                                        |  393.7772 %  |
|                                                ('Health: Good', 'Status: Alive') => ('(5.0, 9.0]',)                                                |  393.7772 %  |
|                                                       ('Health: Good',) => ('(15.0, 99.0]',)                                                       |  391.7950 %  |
|                                               ('Health: Good', 'Status: Alive') => ('(15.0, 99.0]',)                                               |  391.7950 %  |
|                                                     ('Health: Good',) => ('(82.743, 95.695]',)                                                     |  390.9292 %  |
|                                             ('Health: Good', 'Status: Alive') => ('(82.743, 95.695]',)                                             |  390.9292 %  |
|                                                     ('Health: Good',) => ('(73.558, 76.299]',)                                                     |  390.8507 %  |
|                                             ('Health: Good', 'Status: Alive') => ('(73.558, 76.299]',)                                             |  390.8507 %  |
|                                                     ('Health: Good',) => ('(76.299, 82.743]',)                                                     |  390.8114 %  |
|                                             ('Health: Good', 'Status: Alive') => ('(76.299, 82.743]',)                                             |  390.8114 %  |
|                                               ('Health: Good',) => ('(52.443000000000005, 71.414]',)                                               |  390.7722 %  |
|                                                     ('Health: Good',) => ('(71.414, 73.558]',)                                                     |  390.7722 %  |
|                                       ('Health: Good', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                                       |  390.7722 %  |
|                                             ('Health: Good', 'Status: Alive') => ('(71.414, 73.558]',)                                             |  390.7722 %  |
|                                                       ('Health: Good',) => ('(9.0, 15.0]',)                                                        |  389.3647 %  |
|                                               ('Health: Good', 'Status: Alive') => ('(9.0, 15.0]',)                                                |  389.3647 %  |
|                                                        ('OnCurb', 'Brooklyn') => ('BK82',)                                                         |  386.0351 %  |
|                                                          ('Status: Alive',) => ('Bronx',)                                                          |  378.0439 %  |
|                                             ('Status: Alive',) => ('Surveyor Type: NYC Parks Staff',)                                              |  377.7502 %  |
|                                                ('OnCurb', 'Brooklyn', 'Status: Alive') => ('BK82',)                                                |  377.6922 %  |
|                                                   ('Health: Good', 'OnCurb') => ('(5.0, 9.0]',)                                                    |  375.5337 %  |
|                                           ('Health: Good', 'OnCurb', 'Status: Alive') => ('(5.0, 9.0]',)                                           |  375.5337 %  |
|                                                  ('Health: Good', 'OnCurb') => ('(15.0, 99.0]',)                                                   |  373.6434 %  |
|                                          ('Health: Good', 'OnCurb', 'Status: Alive') => ('(15.0, 99.0]',)                                          |  373.6434 %  |
|                                                ('Health: Good', 'OnCurb') => ('(82.743, 95.695]',)                                                 |  372.8177 %  |
|                                        ('Health: Good', 'OnCurb', 'Status: Alive') => ('(82.743, 95.695]',)                                        |  372.8177 %  |
|                                                ('Health: Good', 'OnCurb') => ('(73.558, 76.299]',)                                                 |  372.7428 %  |
|                                        ('Health: Good', 'OnCurb', 'Status: Alive') => ('(73.558, 76.299]',)                                        |  372.7428 %  |
|                                                ('Health: Good', 'OnCurb') => ('(76.299, 82.743]',)                                                 |  372.7054 %  |
|                                        ('Health: Good', 'OnCurb', 'Status: Alive') => ('(76.299, 82.743]',)                                        |  372.7054 %  |
|                                          ('Health: Good', 'OnCurb') => ('(52.443000000000005, 71.414]',)                                           |  372.6679 %  |
|                                                ('Health: Good', 'OnCurb') => ('(71.414, 73.558]',)                                                 |  372.6679 %  |
|                                  ('Health: Good', 'OnCurb', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                                  |  372.6679 %  |
|                                        ('Health: Good', 'OnCurb', 'Status: Alive') => ('(71.414, 73.558]',)                                        |  372.6679 %  |
|                                                        ('Street Tree',) => ('(5.0, 9.0]',)                                                         |  372.5488 %  |
|                                                   ('Health: Good', 'OnCurb') => ('(9.0, 15.0]',)                                                   |  371.3257 %  |
|                                          ('Health: Good', 'OnCurb', 'Status: Alive') => ('(9.0, 15.0]',)                                           |  371.3257 %  |
|                                                       ('Street Tree',) => ('(15.0, 99.0]',)                                                        |  370.6735 %  |
|                                                             ('OnCurb',) => ('Bronx',)                                                              |  370.4867 %  |
|                                                 ('OnCurb',) => ('Surveyor Type: NYC Parks Staff',)                                                 |  370.1989 %  |
|                                                     ('Street Tree',) => ('(82.743, 95.695]',)                                                      |  369.8543 %  |
|                                                     ('Street Tree',) => ('(73.558, 76.299]',)                                                      |  369.7801 %  |
|                                                     ('Street Tree',) => ('(76.299, 82.743]',)                                                      |  369.7429 %  |
|                                               ('Street Tree',) => ('(52.443000000000005, 71.414]',)                                                |  369.7058 %  |
|                                                     ('Street Tree',) => ('(71.414, 73.558]',)                                                      |  369.7058 %  |
|                                                       ('Status: Alive',) => ('Light Pole',)                                                        |  368.8946 %  |
|                                                        ('Street Tree',) => ('(9.0, 15.0]',)                                                        |  368.3742 %  |
|                                                ('Street Tree', 'Status: Alive') => ('(5.0, 9.0]',)                                                 |  362.5620 %  |
|                                                           ('OnCurb',) => ('Light Pole',)                                                           |  361.5204 %  |
|                                               ('Street Tree', 'Status: Alive') => ('(15.0, 99.0]',)                                                |  360.7369 %  |
|                                                     ('OnCurb', 'Status: Alive') => ('Bronx',)                                                      |  360.2472 %  |
|                                         ('OnCurb', 'Status: Alive') => ('Surveyor Type: NYC Parks Staff',)                                         |  359.9674 %  |
|                                             ('Street Tree', 'Status: Alive') => ('(82.743, 95.695]',)                                              |  359.9397 %  |
|                                             ('Street Tree', 'Status: Alive') => ('(73.558, 76.299]',)                                              |  359.8674 %  |
|                                             ('Street Tree', 'Status: Alive') => ('(76.299, 82.743]',)                                              |  359.8313 %  |
|                                       ('Street Tree', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                                        |  359.7952 %  |
|                                             ('Street Tree', 'Status: Alive') => ('(71.414, 73.558]',)                                              |  359.7952 %  |
|                                                ('Street Tree', 'Status: Alive') => ('(9.0, 15.0]',)                                                |  358.4992 %  |
|                                                    ('OnCurb', 'Street Tree') => ('(5.0, 9.0]',)                                                    |  355.1553 %  |
|                                                   ('OnCurb', 'Street Tree') => ('(15.0, 99.0]',)                                                   |  353.3676 %  |
|                                                 ('OnCurb', 'Street Tree') => ('(82.743, 95.695]',)                                                 |  352.5866 %  |
|                                                 ('OnCurb', 'Street Tree') => ('(73.558, 76.299]',)                                                 |  352.5158 %  |
|                                                 ('OnCurb', 'Street Tree') => ('(76.299, 82.743]',)                                                 |  352.4804 %  |
|                                           ('OnCurb', 'Street Tree') => ('(52.443000000000005, 71.414]',)                                           |  352.4450 %  |
|                                                 ('OnCurb', 'Street Tree') => ('(71.414, 73.558]',)                                                 |  352.4450 %  |
|                                                   ('OnCurb', 'Status: Alive') => ('Light Pole',)                                                   |  351.5287 %  |
|                                                   ('OnCurb', 'Street Tree') => ('(9.0, 15.0]',)                                                    |  351.1756 %  |
|                                           ('OnCurb', 'Street Tree', 'Status: Alive') => ('(5.0, 9.0]',)                                            |  345.5732 %  |
|                                          ('OnCurb', 'Street Tree', 'Status: Alive') => ('(15.0, 99.0]',)                                           |  343.8337 %  |
|                                        ('OnCurb', 'Street Tree', 'Status: Alive') => ('(82.743, 95.695]',)                                         |  343.0738 %  |
|                                        ('OnCurb', 'Street Tree', 'Status: Alive') => ('(73.558, 76.299]',)                                         |  343.0049 %  |
|                                        ('OnCurb', 'Street Tree', 'Status: Alive') => ('(76.299, 82.743]',)                                         |  342.9705 %  |
|                                  ('OnCurb', 'Street Tree', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                                   |  342.9360 %  |
|                                        ('OnCurb', 'Street Tree', 'Status: Alive') => ('(71.414, 73.558]',)                                         |  342.9360 %  |
|                                           ('OnCurb', 'Street Tree', 'Status: Alive') => ('(9.0, 15.0]',)                                           |  341.7009 %  |
|                                               ('Sidewalk: No Sidewalk: Damage',) => ('(5.0, 9.0]',)                                                |  328.2303 %  |
|                                       ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(5.0, 9.0]',)                                        |  328.2303 %  |
|                                              ('Sidewalk: No Sidewalk: Damage',) => ('(15.0, 99.0]',)                                               |  326.5781 %  |
|                                      ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(15.0, 99.0]',)                                       |  326.5781 %  |
|                                            ('Sidewalk: No Sidewalk: Damage',) => ('(82.743, 95.695]',)                                             |  325.8564 %  |
|                                    ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(82.743, 95.695]',)                                     |  325.8564 %  |
|                                            ('Sidewalk: No Sidewalk: Damage',) => ('(73.558, 76.299]',)                                             |  325.7909 %  |
|                                    ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(73.558, 76.299]',)                                     |  325.7909 %  |
|                                            ('Sidewalk: No Sidewalk: Damage',) => ('(76.299, 82.743]',)                                             |  325.7582 %  |
|                                    ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(76.299, 82.743]',)                                     |  325.7582 %  |
|                                      ('Sidewalk: No Sidewalk: Damage',) => ('(52.443000000000005, 71.414]',)                                       |  325.7255 %  |
|                                            ('Sidewalk: No Sidewalk: Damage',) => ('(71.414, 73.558]',)                                             |  325.7255 %  |
|                              ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                               |  325.7255 %  |
|                                    ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(71.414, 73.558]',)                                     |  325.7255 %  |
|                                                     ('Health: Good', 'Brooklyn') => ('BK82',)                                                      |  325.4057 %  |
|                                             ('Health: Good', 'Brooklyn', 'Status: Alive') => ('BK82',)                                             |  325.4057 %  |
|                                               ('Sidewalk: No Sidewalk: Damage',) => ('(9.0, 15.0]',)                                               |  324.5523 %  |
|                                       ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(9.0, 15.0]',)                                       |  324.5523 %  |
|                                           ('Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(5.0, 9.0]',)                                           |  310.5434 %  |
|                                  ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('(5.0, 9.0]',)                                   |  310.5434 %  |
|                                                       ('Problems: None',) => ('(5.0, 9.0]',)                                                       |  309.4910 %  |
|                                               ('Problems: None', 'Status: Alive') => ('(5.0, 9.0]',)                                               |  309.4910 %  |
|                                        ('Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(82.743, 95.695]',)                                        |  308.2973 %  |
|                               ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('(82.743, 95.695]',)                                |  308.2973 %  |
|                                        ('Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(73.558, 76.299]',)                                        |  308.2354 %  |
|                               ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('(73.558, 76.299]',)                                |  308.2354 %  |
|                                        ('Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(76.299, 82.743]',)                                        |  308.2045 %  |
|                               ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('(76.299, 82.743]',)                                |  308.2045 %  |
|                                  ('Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(52.443000000000005, 71.414]',)                                  |  308.1735 %  |
|                                        ('Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(71.414, 73.558]',)                                        |  308.1735 %  |
|                         ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                          |  308.1735 %  |
|                               ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('(71.414, 73.558]',)                                |  308.1735 %  |
|                                              ('Status: Alive',) => ('Tree Diameter: (-0.001, 4.0]',)                                               |  307.7663 %  |
|                                                ('Status: Alive',) => ('Surveyor Type: Volunteer',)                                                 |  307.5911 %  |
|                                                    ('Problems: None',) => ('(82.743, 95.695]',)                                                    |  307.2526 %  |
|                                            ('Problems: None', 'Status: Alive') => ('(82.743, 95.695]',)                                            |  307.2526 %  |
|                                                    ('Problems: None',) => ('(73.558, 76.299]',)                                                    |  307.1909 %  |
|                                            ('Problems: None', 'Status: Alive') => ('(73.558, 76.299]',)                                            |  307.1909 %  |
|                                                    ('Problems: None',) => ('(76.299, 82.743]',)                                                    |  307.1601 %  |
|                                            ('Problems: None', 'Status: Alive') => ('(76.299, 82.743]',)                                            |  307.1601 %  |
|                                              ('Problems: None',) => ('(52.443000000000005, 71.414]',)                                              |  307.1292 %  |
|                                                    ('Problems: None',) => ('(71.414, 73.558]',)                                                    |  307.1292 %  |
|                                      ('Problems: None', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                                      |  307.1292 %  |
|                                            ('Problems: None', 'Status: Alive') => ('(71.414, 73.558]',)                                            |  307.1292 %  |
|                                          ('Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(9.0, 15.0]',)                                           |  307.0635 %  |
|                                  ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('(9.0, 15.0]',)                                  |  307.0635 %  |
|                                                      ('Problems: None',) => ('(9.0, 15.0]',)                                                       |  306.0230 %  |
|                                              ('Problems: None', 'Status: Alive') => ('(9.0, 15.0]',)                                               |  306.0230 %  |
|                                                      ('Street Tree', 'Brooklyn') => ('BK82',)                                                      |  303.1798 %  |
|                                                          ('Health: Good',) => ('Bronx',)                                                           |  302.5735 %  |
|                                                  ('Health: Good', 'Status: Alive') => ('Bronx',)                                                   |  302.5735 %  |
|                                              ('Health: Good',) => ('Surveyor Type: NYC Parks Staff',)                                              |  302.3384 %  |
|                                      ('Health: Good', 'Status: Alive') => ('Surveyor Type: NYC Parks Staff',)                                      |  302.3384 %  |
|                                                  ('OnCurb',) => ('Tree Diameter: (-0.001, 4.0]',)                                                  |  301.6140 %  |
|                                                    ('OnCurb',) => ('Surveyor Type: Volunteer',)                                                    |  301.4423 %  |
|                                                    ('Status: Alive',) => ('Sidewalk: Damage',)                                                     |  300.4263 %  |
|                                             ('Street Tree', 'Brooklyn', 'Status: Alive') => ('BK82',)                                              |  296.4760 %  |
|                                                        ('Health: Good',) => ('Light Pole',)                                                        |  295.2507 %  |
|                                                ('Health: Good', 'Status: Alive') => ('Light Pole',)                                                |  295.2507 %  |
|                                                        ('OnCurb',) => ('Sidewalk: Damage',)                                                        |  294.4208 %  |
|                                                  ('OnCurb', 'Problems: None') => ('(5.0, 9.0]',)                                                   |  293.9290 %  |
|                                          ('OnCurb', 'Problems: None', 'Status: Alive') => ('(5.0, 9.0]',)                                          |  293.9290 %  |
|                                          ('OnCurb', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                                          |  293.2781 %  |
|                                            ('OnCurb', 'Status: Alive') => ('Surveyor Type: Volunteer',)                                            |  293.1111 %  |
|                                               ('OnCurb', 'Problems: None') => ('(82.743, 95.695]',)                                                |  291.8031 %  |
|                                       ('OnCurb', 'Problems: None', 'Status: Alive') => ('(82.743, 95.695]',)                                       |  291.8031 %  |
|                                               ('OnCurb', 'Problems: None') => ('(73.558, 76.299]',)                                                |  291.7445 %  |
|                                       ('OnCurb', 'Problems: None', 'Status: Alive') => ('(73.558, 76.299]',)                                       |  291.7445 %  |
|                                               ('OnCurb', 'Problems: None') => ('(76.299, 82.743]',)                                                |  291.7152 %  |
|                                       ('OnCurb', 'Problems: None', 'Status: Alive') => ('(76.299, 82.743]',)                                       |  291.7152 %  |
|                                         ('OnCurb', 'Problems: None') => ('(52.443000000000005, 71.414]',)                                          |  291.6859 %  |
|                                               ('OnCurb', 'Problems: None') => ('(71.414, 73.558]',)                                                |  291.6859 %  |
|                                 ('OnCurb', 'Problems: None', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                                 |  291.6859 %  |
|                                       ('OnCurb', 'Problems: None', 'Status: Alive') => ('(71.414, 73.558]',)                                       |  291.6859 %  |
|                                                  ('OnCurb', 'Problems: None') => ('(9.0, 15.0]',)                                                  |  290.6353 %  |
|                                         ('OnCurb', 'Problems: None', 'Status: Alive') => ('(9.0, 15.0]',)                                          |  290.6353 %  |
|                                                 ('OnCurb', 'Street Tree', 'Brooklyn') => ('BK82',)                                                 |  290.2803 %  |
|                                                 ('Health: Good', 'Street Tree') => ('(5.0, 9.0]',)                                                 |  289.3049 %  |
|                                        ('Health: Good', 'Street Tree', 'Status: Alive') => ('(5.0, 9.0]',)                                         |  289.3049 %  |
|                                                      ('Health: Good', 'OnCurb') => ('Bronx',)                                                      |  288.5554 %  |
|                                             ('Health: Good', 'OnCurb', 'Status: Alive') => ('Bronx',)                                              |  288.5554 %  |
|                                         ('Health: Good', 'OnCurb') => ('Surveyor Type: NYC Parks Staff',)                                          |  288.3313 %  |
|                                 ('Health: Good', 'OnCurb', 'Status: Alive') => ('Surveyor Type: NYC Parks Staff',)                                 |  288.3313 %  |
|                                                ('Health: Good', 'Street Tree') => ('(15.0, 99.0]',)                                                |  287.8486 %  |
|                                       ('Health: Good', 'Street Tree', 'Status: Alive') => ('(15.0, 99.0]',)                                        |  287.8486 %  |
|                                              ('Health: Good', 'Street Tree') => ('(82.743, 95.695]',)                                              |  287.2125 %  |
|                                     ('Health: Good', 'Street Tree', 'Status: Alive') => ('(82.743, 95.695]',)                                      |  287.2125 %  |
|                                              ('Health: Good', 'Street Tree') => ('(73.558, 76.299]',)                                              |  287.1548 %  |
|                                     ('Health: Good', 'Street Tree', 'Status: Alive') => ('(73.558, 76.299]',)                                      |  287.1548 %  |
|                                              ('Health: Good', 'Street Tree') => ('(76.299, 82.743]',)                                              |  287.1259 %  |
|                                     ('Health: Good', 'Street Tree', 'Status: Alive') => ('(76.299, 82.743]',)                                      |  287.1259 %  |
|                                        ('Health: Good', 'Street Tree') => ('(52.443000000000005, 71.414]',)                                        |  287.0971 %  |
|                                              ('Health: Good', 'Street Tree') => ('(71.414, 73.558]',)                                              |  287.0971 %  |
|                               ('Health: Good', 'Street Tree', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                                |  287.0971 %  |
|                                     ('Health: Good', 'Street Tree', 'Status: Alive') => ('(71.414, 73.558]',)                                      |  287.0971 %  |
|                                                ('OnCurb', 'Status: Alive') => ('Sidewalk: Damage',)                                                |  286.2836 %  |
|                                                           ('Street Tree',) => ('Bronx',)                                                           |  286.2619 %  |
|                                                ('Health: Good', 'Street Tree') => ('(9.0, 15.0]',)                                                 |  286.0630 %  |
|                                        ('Health: Good', 'Street Tree', 'Status: Alive') => ('(9.0, 15.0]',)                                        |  286.0630 %  |
|                                              ('Street Tree',) => ('Surveyor Type: NYC Parks Staff',)                                               |  286.0395 %  |
|                                        ('OnCurb', 'Street Tree', 'Brooklyn', 'Status: Alive') => ('BK82',)                                         |  283.8715 %  |
|                                                   ('Health: Good', 'OnCurb') => ('Light Pole',)                                                    |  281.5720 %  |
|                                           ('Health: Good', 'OnCurb', 'Status: Alive') => ('Light Pole',)                                           |  281.5720 %  |
|                                                   ('Street Tree', 'Status: Alive') => ('Bronx',)                                                   |  278.5881 %  |
|                                      ('Street Tree', 'Status: Alive') => ('Surveyor Type: NYC Parks Staff',)                                       |  278.3717 %  |
|                                            ('Health: Good', 'OnCurb', 'Street Tree') => ('(5.0, 9.0]',)                                            |  275.9385 %  |
|                                   ('Health: Good', 'OnCurb', 'Street Tree', 'Status: Alive') => ('(5.0, 9.0]',)                                    |  275.9385 %  |
|                                           ('Health: Good', 'OnCurb', 'Street Tree') => ('(15.0, 99.0]',)                                           |  274.5495 %  |
|                                  ('Health: Good', 'OnCurb', 'Street Tree', 'Status: Alive') => ('(15.0, 99.0]',)                                   |  274.5495 %  |
|                                         ('Health: Good', 'OnCurb', 'Street Tree') => ('(82.743, 95.695]',)                                         |  273.9427 %  |
|                                ('Health: Good', 'OnCurb', 'Street Tree', 'Status: Alive') => ('(82.743, 95.695]',)                                 |  273.9427 %  |
|                                         ('Health: Good', 'OnCurb', 'Street Tree') => ('(73.558, 76.299]',)                                         |  273.8877 %  |
|                                ('Health: Good', 'OnCurb', 'Street Tree', 'Status: Alive') => ('(73.558, 76.299]',)                                 |  273.8877 %  |
|                                         ('Health: Good', 'OnCurb', 'Street Tree') => ('(76.299, 82.743]',)                                         |  273.8602 %  |
|                                ('Health: Good', 'OnCurb', 'Street Tree', 'Status: Alive') => ('(76.299, 82.743]',)                                 |  273.8602 %  |
|                                   ('Health: Good', 'OnCurb', 'Street Tree') => ('(52.443000000000005, 71.414]',)                                   |  273.8327 %  |
|                                         ('Health: Good', 'OnCurb', 'Street Tree') => ('(71.414, 73.558]',)                                         |  273.8327 %  |
|                          ('Health: Good', 'OnCurb', 'Street Tree', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                           |  273.8327 %  |
|                                ('Health: Good', 'OnCurb', 'Street Tree', 'Status: Alive') => ('(71.414, 73.558]',)                                 |  273.8327 %  |
|                                                      ('OnCurb', 'Street Tree') => ('Bronx',)                                                       |  272.8969 %  |
|                                           ('Health: Good', 'OnCurb', 'Street Tree') => ('(9.0, 15.0]',)                                            |  272.8464 %  |
|                                   ('Health: Good', 'OnCurb', 'Street Tree', 'Status: Alive') => ('(9.0, 15.0]',)                                   |  272.8464 %  |
|                                          ('OnCurb', 'Street Tree') => ('Surveyor Type: NYC Parks Staff',)                                          |  272.6849 %  |
|                                              ('OnCurb', 'Street Tree', 'Status: Alive') => ('Bronx',)                                              |  265.5341 %  |
|                                 ('OnCurb', 'Street Tree', 'Status: Alive') => ('Surveyor Type: NYC Parks Staff',)                                  |  265.3278 %  |
|                                        ('Health: Good', 'Sidewalk: No Sidewalk: Damage') => ('(5.0, 9.0]',)                                        |  263.6548 %  |
|                               ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(5.0, 9.0]',)                                |  263.6548 %  |
|                                     ('Health: Good', 'Sidewalk: No Sidewalk: Damage') => ('(82.743, 95.695]',)                                     |  261.7479 %  |
|                            ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(82.743, 95.695]',)                             |  261.7479 %  |
|                                     ('Health: Good', 'Sidewalk: No Sidewalk: Damage') => ('(73.558, 76.299]',)                                     |  261.6953 %  |
|                            ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(73.558, 76.299]',)                             |  261.6953 %  |
|                                     ('Health: Good', 'Sidewalk: No Sidewalk: Damage') => ('(76.299, 82.743]',)                                     |  261.6690 %  |
|                            ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(76.299, 82.743]',)                             |  261.6690 %  |
|                               ('Health: Good', 'Sidewalk: No Sidewalk: Damage') => ('(52.443000000000005, 71.414]',)                               |  261.6427 %  |
|                                     ('Health: Good', 'Sidewalk: No Sidewalk: Damage') => ('(71.414, 73.558]',)                                     |  261.6427 %  |
|                      ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                       |  261.6427 %  |
|                            ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('(71.414, 73.558]',)                             |  261.6427 %  |
|                                                              ('Bronx',) => ('BX27',)                                                               |  259.0012 %  |
|                                               ('Health: Good', 'Problems: None') => ('(5.0, 9.0]',)                                                |  256.9867 %  |
|                                       ('Health: Good', 'Problems: None', 'Status: Alive') => ('(5.0, 9.0]',)                                       |  256.9867 %  |
|                                            ('Health: Good', 'Problems: None') => ('(82.743, 95.695]',)                                             |  255.1281 %  |
|                                    ('Health: Good', 'Problems: None', 'Status: Alive') => ('(82.743, 95.695]',)                                    |  255.1281 %  |
|                                            ('Health: Good', 'Problems: None') => ('(73.558, 76.299]',)                                             |  255.0768 %  |
|                                    ('Health: Good', 'Problems: None', 'Status: Alive') => ('(73.558, 76.299]',)                                    |  255.0768 %  |
|                                            ('Health: Good', 'Problems: None') => ('(76.299, 82.743]',)                                             |  255.0512 %  |
|                                    ('Health: Good', 'Problems: None', 'Status: Alive') => ('(76.299, 82.743]',)                                    |  255.0512 %  |
|                                      ('Health: Good', 'Problems: None') => ('(52.443000000000005, 71.414]',)                                       |  255.0256 %  |
|                                            ('Health: Good', 'Problems: None') => ('(71.414, 73.558]',)                                             |  255.0256 %  |
|                              ('Health: Good', 'Problems: None', 'Status: Alive') => ('(52.443000000000005, 71.414]',)                              |  255.0256 %  |
|                                    ('Health: Good', 'Problems: None', 'Status: Alive') => ('(71.414, 73.558]',)                                    |  255.0256 %  |
|                                                             (2019,) => ('(5.0, 9.0]',)                                                             |  254.2953 %  |
|                                                            (2019,) => ('(15.0, 99.0]',)                                                            |  253.0152 %  |
|                                                          (2019,) => ('(82.743, 95.695]',)                                                          |  252.4561 %  |
|                                                          (2019,) => ('(76.299, 82.743]',)                                                          |  252.3800 %  |
|                                                    (2019,) => ('(52.443000000000005, 71.414]',)                                                    |  252.3547 %  |
|                                                          (2019,) => ('(71.414, 73.558]',)                                                          |  252.3547 %  |
|                                                  ('Sidewalk: No Sidewalk: Damage',) => ('Bronx',)                                                  |  252.2081 %  |
|                                          ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('Bronx',)                                          |  252.2081 %  |
|                                     ('Sidewalk: No Sidewalk: Damage',) => ('Surveyor Type: NYC Parks Staff',)                                      |  252.0121 %  |
|                             ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('Surveyor Type: NYC Parks Staff',)                              |  252.0121 %  |
|                                                             (2018,) => ('(5.0, 9.0]',)                                                             |  251.6240 %  |
|                                                            (2019,) => ('(9.0, 15.0]',)                                                             |  251.4457 %  |
|                                                            (2018,) => ('(15.0, 99.0]',)                                                            |  250.3574 %  |
|                                                          (2018,) => ('(73.558, 76.299]',)                                                          |  249.7539 %  |
|                                                          (2018,) => ('(76.299, 82.743]',)                                                          |  249.7289 %  |
|                                                    (2018,) => ('(52.443000000000005, 71.414]',)                                                    |  249.7038 %  |
|                                                          (2018,) => ('(71.414, 73.558]',)                                                          |  249.7038 %  |
|                                   ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(5.0, 9.0]',)                                   |  249.4890 %  |
|                          ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('(5.0, 9.0]',)                           |  249.4890 %  |
|                                                      ('Bronx', 'Status: Alive') => ('BX27',)                                                       |  249.1542 %  |
|                                                            (2018,) => ('(9.0, 15.0]',)                                                             |  248.8044 %  |
|                                                         ('Brooklyn',) => ('(15.0, 99.0]',)                                                         |  247.9009 %  |
|                                ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(82.743, 95.695]',)                                |  247.6846 %  |
|                       ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('(82.743, 95.695]',)                        |  247.6846 %  |
|                                ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(73.558, 76.299]',)                                |  247.6348 %  |
|                       ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('(73.558, 76.299]',)                        |  247.6348 %  |
|                                ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('(76.299, 82.743]',)                                |  247.6100 %  |
